n 10000, TimeSeries size 10000
0.145,171.755
0.289,-290.771
0.520,-249.486
-0.603,111.761
1.336,-479.945
0.635,143.269
0.091,-177.695
-0.419,33.3357
0.084,-289.886
0.214,-132.886
-0.485,-78.8945
1.846,111.179
-0.662,66.8385
-0.210,245.278
-0.066,-68.8774
-0.119,9.23897
1.111,-168.822
-1.143,44.3203
-0.718,100.635
0.597,-192.186
0.140,-102.328
0.637,-145.673
1.421,-13.4065
0.391,194.269
0.196,-253.639
0.014,168.794
0.778,188.705
-1.324,320.336
0.980,-157.093
0.138,175.804
1.565,-105.188
-2.369,177.549
-0.149,133.963
-0.269,94.1094
-1.351,-71.7745
-1.534,54.0106
0.458,-53.1022
0.688,-197.071
-1.108,376.257
-0.201,207.94
0.803,176.272
1.336,-116.239
1.873,-436.704
0.762,-7.84463
-0.390,13.2836
0.484,-194.306
-0.272,177.953
-0.068,-141.799
-0.027,245.481
0.306,107.243
1.144,-180.905
0.314,27.1267
-1.465,144.87
-0.295,150.698
-1.357,-383.991
-1.002,-115.903
-0.205,129.501
-1.303,194.725
0.194,-128.278
-1.009,95.2508
1.550,-314.677
-0.450,2.3401
0.924,-523.418
0.394,-220.726
1.293,128.199
-0.950,6.07215
0.132,-158.727
0.885,59.6474
1.706,-186.691
1.491,-74.9678
1.059,-525.739
1.581,-443.523
-0.102,-203.794
-0.710,117.884
0.233,-97.7255
0.377,-196.896
-0.803,-452.27
0.767,147.102
-0.472,-96.6622
-1.825,17.6698
0.544,405.073
-0.539,199.852
-0.626,5.28796
0.201,91.7685
-0.827,77.4139
-2.277,65.5534
-0.013,274.428
0.498,-53.1648
-0.382,498.992
0.182,108.562
-1.269,-69.1131
0.293,-442.718
1.656,38.955
-0.260,22.8434
2.774,-418.377
0.523,-118.83
0.578,393.556
-0.525,-44.0649
-0.062,235.791
0.865,44.6137
0.093,-95.3039
-1.076,201.886
-0.939,257.358
1.029,197.563
1.538,118.347
-1.037,361.919
1.159,512.518
-0.498,-56.5951
-0.019,-376.134
-0.060,-155.206
