n 10000, TimeSeries size 10000
-0.094,0.0576157
0.385,0.35687
0.184,0.223492
-0.388,-0.26537
1.361,1.34642
-1.220,-0.743818
-0.209,-0.642035
1.454,0.792847
0.051,-0.233631
-0.755,-0.788918
-1.512,-1.78733
-0.400,-0.402433
-1.028,-0.893031
1.444,1.51214
0.920,0.841407
2.672,2.80448
0.337,0.563844
-0.635,-0.304439
-1.113,-1.11145
-1.390,-1.34063
-2.123,-2.08216
0.705,1.01685
1.493,2.02301
0.151,-0.144297
0.610,0.875403
-0.220,-0.240123
-1.487,-1.40025
1.339,1.3377
-0.862,-0.687051
0.934,0.886223
-0.429,-0.486159
-0.913,-0.944255
0.825,0.767888
0.533,0.68534
-2.093,-2.13796
-0.927,-0.911393
-1.322,-1.43295
-0.076,-0.145231
1.122,1.03637
-0.242,-0.326068
0.442,0.48917
-1.653,-1.62237
0.008,-0.16295
-0.717,-1.17169
0.736,0.80962
-0.254,-0.219177
-0.383,-0.376078
-0.484,-0.480164
-0.580,-0.101109
-0.053,0.129454
1.157,1.15835
1.403,1.64128
0.025,0.171033
-0.130,-0.104622
0.532,0.515333
0.417,0.41748
0.380,0.442535
0.213,0.174495
-1.873,-1.88942
-0.058,-0.00306101
-1.673,-1.61583
-0.868,-0.848084
-0.569,-0.562893
-0.726,-0.700946
0.899,0.94209
-0.012,-0.0799386
0.458,0.595545
-0.044,0.0823831
1.207,1.12167
-0.129,0.0808781
-1.659,-1.67618
0.364,0.36559
-0.857,-0.836883
-0.045,-0.112424
0.534,0.58834
0.154,-0.0335378
-0.304,-0.319974
0.719,0.715995
-0.971,-0.925774
-0.895,-0.903248
-0.868,-1.03734
-1.038,-1.13949
0.873,0.8787
0.269,0.361056
0.354,0.258199
0.062,0.0421806
0.211,0.333279
0.705,0.782901
-0.836,-0.839348
-0.042,-0.0191871
0.878,0.942493
-1.185,-1.17804
-1.108,-0.900468
0.575,0.483028
1.572,1.73367
0.828,0.786179
-1.686,-1.6641
1.264,1.16871
0.036,0.125425
1.100,1.22182
0.155,0.128472
-0.820,-0.849431
0.647,0.636403
0.849,0.92494
-0.215,-0.0834157
-1.901,-1.91003
2.172,2.57362
-0.708,-0.654255
-0.705,-0.615199
-0.168,-0.193036
-2.059,-1.98069
-1.729,-1.72827
0.961,0.941368
1.128,1.15039
1.253,1.24314
1.267,1.08736
-0.129,-0.225234
0.283,0.0163781
-1.464,-1.44332
-1.171,-1.15098
0.211,0.51508
0.132,0.157003
0.371,0.0930427
1.214,1.04853
-0.183,-0.189028
-0.701,-0.721618
1.250,1.24699
1.000,0.995435
-0.943,-1.03841
-2.612,-2.78955
